Date Opened,Time Opened,Opening Price,Legs,Premium,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close,P/L,No. of Contracts,Funds at Close,Margin Req.,Strategy,Opening Short/Long Ratio,Closing Short/Long Ratio,Gap,Movement,Max Profit,Max Loss
"2023-01-23","15:50:00",400.24,"15 Jan 24 402 C BTO 0.96 | 30 Jan 24 399 C STO 2.45 | 15 Jan 24 396 C BTO 4.71",-79,398.77,"2023-01-24","09:32:00",-96,"Profit Target",255,15,4364,1185,"",0.86,0.74,0.84,3.52,24.05,-8.86
"2023-01-20","15:50:00",395.39,"29 Jan 23 397 C BTO 0.89 | 58 Jan 23 394 C STO 2.43 | 29 Jan 23 391 C BTO 4.22",-27,395.47,"2023-01-20","15:51:00",-76,"Profit Target",1421,29,4109,783,"",0.95,0.86,1.46,5.29,188.89,0
"2023-01-19","15:50:00",389.6,"9 Jan 20 392 C BTO 0.69 | 18 Jan 20 389 C STO 1.97 | 9 Jan 20 386 C BTO 4.00",-77,389.48,"2023-01-20","09:32:00",-93,"Profit Target",144,9,2688,693,"",0.84,0.78,-2.13,0.24,27.27,0
"2023-01-18","15:50:00",391.71,"8 Jan 19 394 C BTO 0.72 | 16 Jan 19 391 C STO 2.07 | 8 Jan 19 388 C BTO 4.25",-85,389.53,"2023-01-19","09:58:00",-98,"Profit Target",104,8,2544,680,"",0.83,0.57,1.24,-7.3,17.65,-16.47
"2023-01-17","15:50:00",397.53,"6 Jan 18 400 C BTO 0.67 | 12 Jan 18 397 C STO 2.01 | 6 Jan 18 394 C BTO 4.35",-102,398.16,"2023-01-18","10:39:00",-118,"Profit Target",96,6,2440,612,"",0.8,0.73,0.01,-0.95,17.65,-48.04
"2023-01-13","15:50:00",398.57,"10 Jan 17 401 C BTO 0.59 | 20 Jan 17 398 C STO 1.87 | 10 Jan 17 395 C BTO 3.70",-57,398.36,"2023-01-13","15:51:00",-91,"Profit Target",340,10,2344,570,"",0.87,0.79,-3.32,4.95,63.16,0
"2023-01-12","15:50:00",396.1,"5 Jan 13 398 C BTO 0.90 | 10 Jan 13 395 C STO 2.33 | 5 Jan 13 392 C BTO 4.76",-102,395.73,"2023-01-13","11:14:00",-119,"Profit Target",85,5,2004,510,"",0.82,0.71,1.15,-0.57,18.63,-41.18
"2023-01-11","15:50:00",394.76,"15 Jan 12 397 C BTO 3.03 | 30 Jan 12 394 C STO 4.53 | 15 Jan 12 391 C BTO 6.31",-30,396.29,"2023-01-12","09:32:00",-53,"Profit Target",345,15,1919,450,"",0.97,0.93,1.6,2.53,83.33,-13.33
"2023-01-10","15:50:00",389.79,"7 Jan 11 392 C BTO 0.66 | 14 Jan 11 389 C STO 2.04 | 7 Jan 11 386 C BTO 4.29",-89,394.3,"2023-01-11","15:00:00",-3,"Exited at Specified Time",-602,7,1574,623,"",0.82,1,-0.62,2.54,0,-100
"2023-01-09","15:50:00",388.06,"8 Jan 10 390 C BTO 1.00 | 16 Jan 10 387 C STO 2.41 | 8 Jan 10 384 C BTO 4.54",-74,387.42,"2023-01-10","09:47:00",-93,"Profit Target",152,8,2176,592,"",0.87,0.78,2.34,-2.31,28.38,-4.05
